Time,Category,Item,Description,Price,Price Note,Signature,Veg Flag
8 AM - 1 PM,Healthy Breakfast,Millet Idli,Steamed millet idlis with sambar and chutney.,139,,,veg
8 AM - 1 PM,Healthy Breakfast,Mini Classic Idli,Soft mini idlis with sambar and chutney.,99,,,veg
8 AM - 1 PM,Healthy Breakfast,Chana Power Chaat,"Chickpeas, vegetables, lemon and herbs.",129,,,veg
8 AM - 1 PM,Healthy Breakfast,Protein Poha with Paneer & Soya,"Poha with paneer, roasted soya and vegetables.",149,,,veg
8 AM - 1 PM,Healthy Breakfast,Paneer Stuffed Chilla,Two moong chillas filled with paneer.,189,,,veg
8 AM - 1 PM,Healthy Breakfast,Fresh Sprout Power Bowl,"Fresh sprouts, vegetables and lemon-herb dressing.",169,,,veg
ALL DAY,Healthy Bowls,Chickpea & Feta Salad,"Chickpeas, feta, fresh vegetables and light dressing.",199,,,veg
ALL DAY,Healthy Bowls,Paneer Power Salad,"Paneer, fresh vegetables and light dressing.",219,,,veg
8 AM - 1 PM,Protein Breakfast,Egg & Chicken Protein Breakfast,"3 eggs, grilled chicken, sautéed vegetables and toast.",249,,,non-veg
8 AM - 1 PM,Protein Breakfast,Paneer Protein Wrap,Paneer tikka and vegetables in multigrain wrap.,199,,,veg
8 AM - 1 PM,Protein Breakfast,Chicken Protein Wrap,Grilled chicken and lettuce in multigrain wrap.,229,,,non-veg
8 AM - 1 PM,Protein Breakfast,Egg Chicken Power Wrap,"Egg, chicken tikka and vegetables in multigrain wrap.",249,,,non-veg
ALL DAY,Protein Power Bowls,Overnight Oats Protein Bowl,"Oats, banana, chia seeds, peanut butter, mixed seeds and whey protein.",199,,,veg
ALL DAY,Protein Power Bowls,Paneer Protein Bowl,"Paneer, rice, vegetables and light dressing.",249,,Yes,veg
ALL DAY,Protein Power Bowls,Rajma Rice Power Bowl,"Rajma with rice, salad and a light house dressing.",229,,,veg
ALL DAY,Protein Power Bowls,Chicken Protein Bowl,Grilled chicken with rice and salad.,299,,Yes,non-veg
8 AM - 1 PM,Desi Favourites,Classic Chole Bhature,Spiced chickpea curry with fluffy bhature.,159,,,veg
8 AM - 1 PM,Desi Favourites,Mumbai Pav Bhaji,Buttery pav with rich mixed-vegetable bhaji.,149,,,veg
8 AM - 1 PM,Desi Favourites,Desi Aloo Power Paratha,Stuffed potato paratha with curd/butter.,149,,,veg
8 AM - 1 PM,Desi Favourites,Paneer Power Paratha,Stuffed paneer paratha with chilled curd.,179,,,veg
ALL DAY,Egg Corner,2 Egg Masala Omelette,"Two eggs with onion, tomato, chilli and herbs.",99,,,egg
ALL DAY,Egg Corner,4 Egg White Omelette,Four egg whites with vegetables and herbs.,109,,,egg
ALL DAY,Egg Corner,Masala Egg Bhurji,"Scrambled eggs with onion, tomato and herbs.",129,,,egg
ALL DAY,Protein Power Bowls,Paneer Power Bowl,"Paneer, rice, vegetables and light dressing.",249,,Yes,veg
ALL DAY,Protein Power Bowls,Rajma Protein Bowl,"Rajma, rice, fresh salad and a light house dressing.",249,,,veg
ALL DAY,Protein Power Bowls,Grilled Chicken Power Bowl,Grilled chicken with rice and salad.,299,,Yes,non-veg
ALL DAY,Protein Shakes,Chocolate Whey Shake,Chocolate whey blended into a protein shake.,249,,,veg
ALL DAY,Protein Shakes,Cold Coffee Whey Shake,Cold coffee blended with whey protein.,269,,Yes,veg
ALL DAY,Protein Shakes,Peanut Butter Banana Protein Shake,"Banana, peanut butter and whey protein.",279,,,veg
ALL DAY,Smoothies,Berry Smoothie,Mixed berry smoothie.,199,,,veg
ALL DAY,Smoothies,Green Glow Smoothie,Green fruit-and-vegetable smoothie.,189,,,veg
ALL DAY,Healthy Drinks,Chia Lemon Refresher,Lemon refresher with chia seeds.,149,,,veg
ALL DAY,Healthy Drinks,Cucumber Mint Fresh Cooler,"Cucumber, mint and lemon cooler.",139,,,veg
ALL DAY,Healthy Drinks,Lemon Mint Fresh Cooler,"Fresh lemon, mint and chilled water.",129,,,veg
1 PM - CLOSING,Soup(Veg),Veg Manchow Soup,Spicy vegetable soup with noodles and herbs.,149,,,veg
1 PM - CLOSING,Soup(Veg),Veg Sweet Corn Soup,Comforting sweet corn soup with vegetables.,149,,,veg
1 PM - CLOSING,Soup(Non - Veg),Chicken Manchow Soup,Spicy chicken soup with vegetables and noodles.,179,,,non-veg
1 PM - CLOSING,Soup(Non - Veg),Chicken Thukpa Soup,Tibetan-style chicken noodle soup with vegetables and warming spices.,179,,,non-veg
1 PM - CLOSING,Veg Starters,Crispy Corn,Crispy corn tossed with chilli and herbs.,179,,,veg
1 PM - CLOSING,Veg Starters,Crispy Chilli Baby Corn,Crispy baby corn in sweet-spicy chilli glaze.,199,,,veg
1 PM - CLOSING,Veg Starters,Chilli Paneer,"Paneer with onion, capsicum and chilli sauce.",229,,,veg
1 PM - CLOSING,Veg Starters,Paneer Tikka - 8 Pc,Smoky tandoori paneer tikka.,269,,Yes,veg
1 PM - CLOSING,Veg Starters,Malai Paneer Tikka - 8 Pc,Creamy mildly spiced paneer tikka.,289,,,veg
1 PM - CLOSING,Veg Starters,Hariyali Paneer Tikka,"Paneer marinated with mint, coriander and green herbs, roasted in the tandoor.",279,,,veg
1 PM - CLOSING,Veg Starters,Veg Seekh Kebab,Minced vegetables and aromatic spices shaped on skewers and grilled.,229,,,veg
1 PM - CLOSING,Veg Starters,Dahi Ke Kebab,Crisp kebabs with a creamy hung-curd centre and mild spices.,249,,,veg
1 PM - CLOSING,Veg Starters,Cheese-Stuffed Mushroom,Mushroom caps stuffed with seasoned cheese and grilled.,279,,,veg
1 PM - CLOSING,Veg Starters,Chilli Mushroom Dry,"Crispy mushrooms tossed with onion, capsicum and chilli sauce.",229,,,veg
1 PM - CLOSING,Non-Veg Starters,Chilli Chicken Dry,"Crispy chicken with onion, capsicum and chilli.",269,,,non-veg
